1,1,0,0.45152,0
1,1,7,0.46066,0
1,1,14,0.46269,0
1,1,21,0.45702,0
1,1.5,0,0.553,0
1,1.5,7,0.56135,0
1,1.5,14,0.56104,0
1,1.5,21,0.5515,0
1,2,0,0.63855,0
1,2,7,0.64624,0
1,2,14,0.64397,0
1,2,21,0.63122,0
1,2.5,0,0.71392,0
1,2.5,7,0.72104,0
1,2.5,14,0.71706,0
1,2.5,21,0.70148,0
1,3,0,0.78206,0
1,3,7,0.78866,0
1,3,14,0.78314,0
1,3,21,0.76502,0
1,3.5,0,0.84472,0
1,3.5,7,0.85085,0
1,3.5,14,0.84391,0
1,3.5,21,0.82346,0
1,4,0,0.90305,0
1,4,7,0.90873,0
1,4,14,0.90048,0
1,4,21,0.87786,0
1,4.5,0,0.95783,0
1,4.5,7,0.9631,0
1,4.5,14,0.95361,0
1,4.5,21,0.92896,0
1.5,1,0,0.67729,0
1.5,1,7,0.70055,0
1.5,1,14,0.71321,0
1.5,1,21,0.71367,0
1.5,1.5,0,0.8295,0
1.5,1.5,7,0.85153,0
1.5,1.5,14,0.8605,0
1.5,1.5,21,0.85493,0
1.5,2,0,0.95783,0
1.5,2,7,0.97883,0
1.5,2,14,0.98477,0
1.5,2,21,0.97423,0
1.5,2.5,0,1.0709,0
1.5,2.5,7,1.091,0
1.5,2.5,14,1.0943,0
1.5,2.5,21,1.0794,0
1.5,3,0,1.1731,0
1.5,3,7,1.1924,0
1.5,3,14,1.1934,0
1.5,3,21,1.1746,0
1.5,3.5,0,1.2671,0
1.5,3.5,7,1.2857,0
1.5,3.5,14,1.2845,0
1.5,3.5,21,1.2621,0
1.5,4,0,1.3546,0
1.5,4,7,1.3725,0
1.5,4,14,1.3693,0
1.5,4,21,1.3437,0
1.5,4.5,0,1.4367,0
1.5,4.5,7,1.454,0
1.5,4.5,14,1.4489,0
1.5,4.5,21,1.4202,0
